,2010/1/1,2010/6/30,2010/12/27,2011/6/25,2011/12/22,2012/6/19,2012/12/16,2013/6/14,2013/12/11,2014/6/9,2014/12/6,2015/6/4,2015/12/1,2016/5/29,2016/11/25,2017/5/24,2017/11/20,2018/5/19,2018/11/15,2019/5/14,2019/11/10,2020/5/8,2020/11/4,2021/5/3,2021/10/30,
ざびえる,455,888,714,808,809,914,1200,1390,1250,1730,1610,1970,1960,2100,2420,2750,4010,4820,5070,5410,5440,7150,7150,9170,11500,
関あじ・関さば最中,1060,1240,1590,1480,1500,2020,2140,2140,2610,2700,3290,3980,3700,4100,4700,5570,6860,7460,9150,9560,11500,11500,12500,14200,17000,
雪月花+%28銘菓%29,45,62,85,97,115,157,152,188,206,227,320,419,429,658,639,782,1300,1480,1720,1920,2060,2120,2250,2380,2840,
蛤志るこ,2760,2800,3060,3890,4210,5120,5510,6770,7860,8210,9660,9530,11300,10900,12800,14600,14800,16300,21200,23000,25300,29800,27800,28800,31200,
三笠野,7780,8870,9710,11200,12000,13800,16000,17900,22100,21900,25400,29600,38900,43400,51500,56900,116000,163000,197000,227000,268000,300000,1340000,3780000,4680000,
やせうま,3370,3450,4030,4250,5210,5580,6600,6900,7690,8350,9210,9650,10700,13400,14300,15900,18700,21700,25400,27200,31200,36800,40200,50900,54400,
瑠異沙,1090,926,1560,1850,1930,2670,3890,4400,4800,4940,5670,7200,7820,10000,9490,11500,12200,15000,18100,21900,22300,27200,31000,35900,46600,
子宝ちんこすこう,231,248,159,212,314,239,295,293,290,348,471,612,545,664,796,813,1140,1150,1210,1530,1470,2020,2190,3430,3710,
サーターアンダーギー,1210,1320,1750,2150,2370,2690,2960,3700,3950,4430,4930,5790,6650,8030,9950,11800,12400,14500,18300,20200,22300,22900,28700,31500,34900,
ちんすこう,4600,4680,5860,6330,6730,8210,8800,9700,12300,12300,12800,16600,16600,20400,20300,23400,28300,35100,41600,44300,50400,56100,62500,71900,79600,
ぱなぱんびん,41,41,41,42,42,42,45,45,100,75,97,113,119,116,190,136,143,188,176,181,195,199,215,303,232,
花ボウル,84900,97600,118000,150000,156000,183000,229000,240000,314000,372000,2760000,5120000,6710000,6870000,9600000,10300000,14300000,17200000,17900000,19000000,23500000,27700000,28200000,31900000,38200000,
ブルーシールアイスクリーム,8930,10300,10700,12300,15400,15700,17900,19200,22300,23200,24300,30900,33200,36100,116000,112000,742000,1240000,1430000,1480000,1620000,1830000,2160000,2160000,2270000,
落雁,9310,9840,13200,15300,16500,20200,20300,22800,23500,25600,31500,34600,41700,45000,55600,60800,84000,96700,101000,285000,1530000,1910000,1980000,2150000,2080000,
あかまき,4560,4950,6230,6460,7310,9080,9660,10700,12000,14400,14600,19300,23300,30000,40000,53300,54000,76200,90100,92800,110000,134000,155000,185000,198000,
かからん団子,73000,81900,97300,200000,1280000,1880000,2070000,2470000,3050000,3280000,3270000,3430000,3610000,3950000,4050000,4640000,5120000,5810000,6400000,7040000,7990000,8370000,9680000,11200000,12900000,
加治木饅頭,65,71,128,145,113,114,118,128,168,165,396,242,266,290,337,483,426,869,691,643,984,805,836,998,1010,
がじゃ豆,125000,136000,175000,206000,262000,619000,2540000,3640000,4290000,4320000,5230000,6150000,6220000,7440000,8340000,8790000,9400000,10900000,11800000,13000000,14000000,15500000,18600000,20600000,23500000,
唐芋レアケーキ,118,120,144,185,198,215,234,252,308,314,338,390,477,472,634,736,873,1200,1220,1470,1840,2070,2090,2310,3680,
軽羹,533,573,728,838,889,921,1200,1080,1190,1510,1590,1980,2680,3200,2980,3530,3890,5190,4460,4900,5200,5570,6140,6600,7820,
汽笛饅頭,192,205,213,231,248,314,300,388,500,384,418,488,606,704,684,746,934,975,937,1040,1180,1610,1440,1710,1990,
さつまいもキャラメル,1960,2270,2860,3610,3650,4840,4770,6540,6790,7550,8840,10600,12400,16100,19700,22600,29500,37000,39800,47700,49800,62300,76800,76400,81500,
薩摩蒸気屋,2110,2380,3350,3710,3360,4200,4030,4510,4520,4880,5280,5980,6180,6330,7320,7630,9100,9420,11800,12600,13900,15300,15100,17500,19400,
両棒餅,2970,3700,3520,4030,4220,5140,5920,5610,6310,7140,8510,9140,9520,12100,11800,13600,15100,16300,19800,21500,21700,26900,29500,30700,36900,
春駒,27600,33300,39500,41300,45700,53300,55900,62000,75100,77100,98800,96600,111000,581000,1560000,1920000,2200000,2270000,2840000,2560000,3550000,3990000,3700000,4370000,5050000,
兵六餅,7680,9620,11100,11600,12200,14700,14900,16800,19300,22800,24700,29300,26400,31300,34900,40500,50000,60400,59000,81000,90300,86800,105000,118000,136000,
ふくれ菓子,1390,1700,2070,2360,2780,3000,3620,4250,4180,4390,4100,5120,6170,6060,5820,7390,9500,9570,9510,11200,12400,16000,16000,18100,21700,
ボンタンアメ,335,416,447,484,633,774,669,882,887,1170,1080,1240,1490,1760,2110,2910,2920,3760,4050,4790,5230,5930,6770,7140,7910,
あかまき,5120,5850,5790,6490,7240,8250,9190,9920,11000,12800,13900,19000,23300,29000,42800,46000,58600,69800,81700,94300,106000,130000,150000,180000,185000,
いきなり団子,7660,9310,10700,14800,16600,17300,18600,25300,26300,27000,30700,32800,34700,38100,44800,44900,50200,55600,59900,66700,82500,84300,105000,404000,1040000,
加勢以多,854,921,1140,1240,1220,1980,2380,2760,2800,3060,2920,3460,3300,3620,3870,3890,4060,4700,5070,5320,5510,5800,6050,6880,7140,
朝鮮飴,4450,5620,7030,7090,8220,9290,9210,10100,11200,13100,14300,17200,16300,20200,20000,22900,24000,28400,29500,31300,35300,38400,40500,49300,57100,
誉の陣太鼓,387,629,691,659,836,1580,1850,2100,2290,2490,2500,2850,3510,3710,4630,5060,13800,14000,16100,17300,16700,17700,18700,20700,21800,
みょうが饅頭,198,266,322,534,589,705,1030,869,1060,1080,1160,1330,1410,1530,2150,2080,2130,2570,2580,3110,3080,3370,3990,5020,6010,
一口香,107000,213000,1340000,1860000,1790000,1900000,2310000,2240000,2750000,2860000,3220000,3410000,4330000,5380000,6060000,7510000,7720000,9280000,10700000,12700000,13300000,18300000,21300000,26700000,31300000,
小城羊羹,591,909,959,993,979,1220,1170,1220,1390,1510,2000,2380,3000,3740,4640,5270,6290,7220,8380,9620,10000,11300,11500,12500,15500,
けえらん,1650,1980,2320,2620,3080,3420,3940,4370,4940,5450,6090,7260,10300,10900,13600,14700,19900,20900,21400,24500,24700,32300,31400,36900,42100,
さが錦,59000,67100,78100,84800,99600,107000,117000,130000,144000,158000,177000,433000,2010000,2580000,3320000,3400000,4110000,4690000,5780000,5860000,6980000,7910000,8290000,9620000,9440000,
松露饅頭,573,780,938,1090,1260,1500,1780,2010,2570,2670,2990,3840,4380,4970,6880,8100,9950,11400,13200,13300,15600,17800,20800,22500,26100,
丸ぼうろ,7080,8240,9430,10300,11400,12600,14200,15800,18700,20100,22700,26300,30600,35700,43100,52000,60100,72600,85800,99500,122000,139000,157000,1600000,2480000,
諫早おこし,513,571,934,739,1020,935,994,1220,1320,1420,1510,1790,2480,2200,2490,3040,3430,3980,4430,4830,5530,5530,5870,11000,11500,
